Text ID,I,We,They,Non-fluencies,PosEmotion,NegEmotion,Anxiety,Anger,Sadness,Cognitive,Inhibition,Perceptual,Relativity,Work,Swear,Articles,Verbs,Adverbs,Prepositions,Conjunctions,Negtions,Quantifiers,Numbers
p1,39,11,0,7,20,0,0,0,0,25,1,7,60,27,0,31,73,31,62,41,3,16,4
p10,65,25,3,7,30,4,0,1,1,64,1,6,120,48,0,61,150,63,137,67,4,27,6
p11,54,20,0,3,17,3,0,0,0,31,2,8,99,59,0,32,84,39,110,59,1,18,6
p12,31,10,8,7,22,0,0,0,0,33,3,0,76,32,0,42,99,27,95,50,11,20,5
p13,44,11,5,9,22,2,1,0,0,28,1,4,71,38,0,32,86,38,68,53,6,16,3
p14,39,8,2,2,11,4,1,0,0,31,2,10,53,37,0,35,81,44,63,56,7,21,7
p15,74,15,4,52,67,3,2,1,0,45,0,13,111,57,0,60,176,52,148,76,9,33,4
p16,43,7,0,10,24,2,0,0,0,23,1,7,77,33,0,29,96,58,81,60,8,21,3
p17,39,5,10,3,15,1,2,0,0,17,3,15,54,25,0,22,96,44,64,54,4,14,10
p20,32,8,0,7,14,1,1,0,0,16,1,7,67,32,0,26,63,28,68,43,3,7,2
p21,84,10,8,61,75,2,0,0,0,65,2,8,89,67,1,62,152,65,104,93,7,19,8
p22,33,14,3,1,12,1,1,0,0,36,0,6,84,39,0,26,68,31,73,47,5,10,6
p24,52,6,7,16,44,2,2,0,0,37,4,8,145,28,0,71,132,65,119,83,9,30,8
p25,39,10,1,4,10,0,0,0,0,30,2,5,51,36,0,25,84,37,56,36,7,9,0
p27,29,6,1,3,11,3,0,1,0,15,1,8,49,41,0,17,51,24,62,31,2,6,3
p29,46,13,2,18,33,1,0,0,0,48,2,11,62,26,0,33,97,35,87,48,4,20,4
p3,214,62,6,36,106,2,0,6,0,172,2,42,300,84,0,106,402,266,292,206,24,72,24
p30,26,9,0,2,7,0,0,0,0,14,2,8,29,19,0,19,46,16,41,20,5,6,3
p31,60,15,3,15,44,0,3,1,1,54,1,9,100,57,0,48,144,52,137,74,10,18,17
p32,44,17,6,0,36,0,2,0,0,47,9,9,94,47,0,65,139,74,140,80,11,20,14
p33,51,20,2,23,45,2,1,0,0,45,1,6,105,40,0,37,106,64,95,83,5,21,8
p34,56,32,10,14,35,4,0,0,0,65,5,15,115,49,0,61,147,75,147,86,12,47,9
p35,43,10,1,9,23,1,0,0,0,21,1,4,75,35,0,29,78,30,58,42,4,18,6
p37,49,4,0,8,25,1,0,0,0,14,2,9,64,43,0,30,55,41,74,50,2,20,3
p4,36,4,2,5,17,1,1,0,0,34,2,8,97,41,0,52,89,41,137,43,6,21,3
p42,61,27,5,17,42,2,4,0,0,57,1,13,136,55,0,85,194,80,145,105,11,41,9
p43,26,16,5,2,12,2,0,0,0,32,3,3,66,26,0,28,97,50,53,52,3,11,6
p44,63,11,5,2,19,2,0,0,0,43,3,12,106,47,0,39,109,45,129,42,2,31,6
p45,54,16,10,10,40,4,3,0,0,57,3,9,116,41,0,59,154,76,133,56,7,34,13
p47,22,1,1,5,19,2,0,0,0,12,0,2,29,22,0,19,60,30,48,22,8,8,2
p48,51,11,6,37,40,1,1,0,0,45,2,5,87,36,0,55,123,54,83,74,12,26,1
p49,108,10,12,19,32,1,1,1,1,67,3,23,151,69,0,91,225,109,170,121,17,61,7
p5,27,11,5,0,5,1,0,0,0,22,3,0,56,33,0,28,49,21,59,45,3,5,1
p50,56,16,5,3,21,6,1,1,0,50,4,1,120,51,0,39,147,36,118,60,12,28,15
p52,72,4,2,20,36,3,1,0,0,34,1,14,95,29,0,35,109,48,84,34,8,24,7
p53,62,15,4,7,25,5,0,0,0,37,2,13,79,34,0,47,107,44,91,59,7,13,6
p55,29,10,7,6,17,0,0,0,0,26,2,9,49,27,0,25,59,28,61,36,2,21,1
p56,66,25,3,53,62,3,2,1,0,53,5,6,106,61,0,44,110,49,95,78,10,21,7
p57,64,14,6,2,32,2,1,0,0,49,4,4,102,47,0,52,138,67,135,75,6,50,5
p58,23,17,0,2,9,1,1,0,0,32,1,9,66,29,0,44,65,23,57,51,3,13,8
p59,38,2,0,5,16,2,0,0,0,17,4,8,34,25,0,24,89,31,44,39,6,10,3
p6,93,3,6,9,24,2,4,0,0,38,4,7,133,79,0,61,156,47,138,82,14,28,26
p60,56,29,9,35,60,4,1,1,0,66,3,7,111,63,0,71,195,91,117,111,27,29,4
p61,4,1,0,0,3,1,0,0,0,4,0,0,6,1,0,3,7,2,6,4,0,1,1
p62,74,27,6,13,31,3,0,0,0,50,3,19,113,51,0,61,164,83,137,101,6,34,22
